Job Title,Company_name,Location_name,Job Type,Link
Business Analyst,Etqan Consultancy -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hNNS47WR4tvo-Business-Analyst-Etqan-Consultancy-Cairo-Egypt
Data Analyst Manager,WUZZUF -,"Maadi, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt
Data Analyst,Bnaia -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/5IUxAKZqpB90-Data-Analyst-Bnaia-Cairo-Egypt
Business Analyst,Elabd Foods -,"Abu Rawash, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yoRGH7V1205b-Business-Analyst-Elabd-Foods-Giza-Egypt
Data Analyst,Al Ateeq Software -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Ar12vcBQLTkq-Data-Analyst-Al-Ateeq-Software-Cairo-Egypt
Data Analyst,Helal Group -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/N0Hg667LsTE9-Data-Analyst-Helal-Group-Cairo-Egypt
Data Analyst,Junior-Tex -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/LaLsgvkPktUf-Data-Analyst-Junior-Tex-Cairo-Egypt
Market Research Analyst,Transmar International  -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/dJVGyj6yeEj7-Market-Research-Analyst-Transmar-International-Cairo-Egypt
Manager - Data Intelligence Analyst,Almosafer -,"Mohandessin, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/H4UTl8Xz7L56-Manager---Data-Intelligence-Analyst-Almosafer-Giza-Egypt
Supply Chain Data Analyst,ZeroCarbon  -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/0ZYypx6MqGkM-Supply-Chain-Data-Analyst-ZeroCarbon-Cairo-Egypt
Senior MIS Reporting Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/O8nRxLp5wd6k-Senior-MIS-Reporting-Analyst-Xceed-Contact-Center-Cairo-Egypt
Senior Business Analyst,Youxel -,"Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/af0iMqNWx3qA-Senior-Business-Analyst-Youxel-Cairo-Egypt
Business Analyst,Confidential -,"Dokki, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/oiIOk5pkxv7E-Business-Analyst-Giza-Egypt
Senior Business Analyst,Awazel -,"Sheraton, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rE88fiiZEKGB-Senior-Business-Analyst-Awazel-Cairo-Egypt
Data Analyst,Confidential -,"Bourj Alarab, Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/RGA3QaSv9HqM-Data-Analyst-Alexandria-Egypt
Mid-Level / Senior Business Analyst,GET Group- Egypt -,"Sheraton, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Gviplq87pR5I-Mid-Level-Senior-Business-Analyst-GET-Group--Egypt-Cairo-Egypt
Senior Data Analyst,Mobility Pro DMCC -,"Azarita, Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ltw4ifgm6LZ9-Senior-Data-Analyst-Mobility-Pro-DMCC-Alexandria-Egypt
Real Time Analyst,Nile Projects & Trading -,"Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/AXzSqItg0YEi-Real-Time-Analyst-Nile-Projects-Trading-Alexandria-Egypt
Business Analyst,Babeleye -,"Maadi, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/c5nGO4tGo55D-Business-Analyst-Babeleye-Cairo-Egypt
Data Analyst,Venus Hiring -,"Toronto, Canada",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Gaknn1pTbBFC-Data-Analyst-Venus-Hiring-Toronto-Canada
Financial Pricing Analyst,Elabd Foods -,"Abu Rawash, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/n9IJWXFEXvZH-Financial-Pricing-Analyst-Elabd-Foods-Giza-Egypt
Senior Quality Monitoring Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6O1mN9qDn1kf-Senior-Quality-Monitoring-Analyst-Xceed-Contact-Center-Cairo-Egypt
Commercial Specialist ( Junior Data Analyst ),realme -,"Nasr City, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4xE6REC3FbS2-Commercial-Specialist-Junior-Data-Analyst-realme-Cairo-Egypt
Junior Business Analyst,JRM for Communications -,"Nasr City, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Pl1WYsV0AdkJ-Junior-Business-Analyst-JRM-for-Communications-Cairo-Egypt
Data Analyst,Confidential -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/l2JhewRjBoNv-Data-Analyst-Cairo-Egypt
Digital Technical Analyst,Xceed Contact Center -,"6th of October, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/S8wzHadZeuXr-Digital-Technical-Analyst-Xceed-Contact-Center-Giza-Egypt
Financial Analyst ( Costing Background),Cairo Three A  for Agricultural and Animal Production -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4O60gQuoEm9C-Financial-Analyst-Costing-Background-Cairo-Three-A-for-Agricultural-and-Animal-Production-Cairo-Egypt
Financial Analyst,BDO Esnad -,"Maadi, Cairo, Egypt",Full TimeRemote,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/DpsRseEF9tvL-Financial-Analyst-BDO-Esnad-Cairo-Egypt
Data Analyst,London International Patient Services -,"Heliopolis, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/s5BzCzLsEb7k-Data-Analyst-London-International-Patient-Services-Cairo-Egypt
Ads Sales Quality Analyst (QA),Genpact -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/0NDv6eN5klcJ-Ads-Sales-Quality-Analyst-QA-Genpact-Cairo-Egypt
Planning & Scheduling Analyst (WFM),Intouch CX  -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gxRVANSmaO4L-Planning-Scheduling-Analyst-WFM-Intouch-CX-Cairo-Egypt
Customer & Market Knowledge Analyst,Alshaya -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/UxtCRJ6YwMZX-Customer-Market-Knowledge-Analyst-Alshaya-Cairo-Egypt
Financial Analyst,Confidential -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/empX5xigm9rE-Financial-Analyst-Cairo-Egypt
Financial Analyst,Dwell Egypt -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4IzREHP1jJkG-Financial-Analyst-Dwell-Egypt-Cairo-Egypt
Data Entry Specialist (Females Only),Petro-Teq for industrial solution -,"Smouha, Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aNMkwT6D8zxx-Data-Entry-Specialist-Females-Only-Petro-Teq-for-industrial-solution-Alexandria-Egypt
"Data Availability officer ""Saudis only""",Confidential -,"Riyadh, Saudi Arabia",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/I6nyrfFh7QyE-Data-Availability-officer-Saudis-only-Riyadh-Saudi-Arabia
Sales Planner / Analyst,National Glass -,"10th of Ramadan City, Sharqia, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/KnW9r6o7B54Z-Sales-Planner-Analyst-National-Glass-Sharqia-Egypt
Market Research Analyst,Confidential -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Vb4Rdd0bO4og-Market-Research-Analyst-Cairo-Egypt
Merchandising Analyst,le Voile   -,"Nozha, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/younG0Knk0Xv-Merchandising-Analyst-le-Voile-Cairo-Egypt
Software Business Analyst,Safa Soft -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Q4syhfvE5ukv-Software-Business-Analyst-Safa-Soft-Cairo-Egypt
Manager - Data Analytics,Alshaya -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xhclI1MgAQs5-Manager --Data-Analytics-Alshaya-Cairo-Egypt
Senior Data Analyst,British University of Egypt -,"Shorouk City, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gFNeLv8RTxpX-Senior-Data-Analyst-British-University-of-Egypt-Cairo-Egypt
Financial Analyst / Reporting,Go Bus -,"Katameya, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hyoGJDDGwVsp-Financial-Analyst-Reporting-Go-Bus-Cairo-Egypt
Senior Cost Analyst,Nacita -,"6th of October, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3Gip0dA26tCf-Senior-Cost-Analyst-Nacita-Giza-Egypt
Data Analysis Specialist,Outsourcing Skill -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/KKm4wBLkb9hK-Data-Analysis-Specialist-Outsourcing-Skill-Cairo-Egypt
Data Analyst,Luminar -,"New Cairo, Cairo, Egypt",Full TimeRemote,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/cZhEcNziXcWL-Data-Analyst-Luminar-Cairo-Egypt
Senior Software Business Analyst - On-site,Microwize -,"Sheraton, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yP79eVIiIgks-Senior-Software-Business-Analyst---On-site-Microwize-Cairo-Egypt
Financial Analyst,Confidential -,"Jazan, Saudi Arabia",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OoTfi5B3E8WA-Financial-Analyst-Jazan-Saudi-Arabia
MIS Analyst,FlexFilms Egypt -,"6th of October, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/CLdMZNsAf52o-MIS-Analyst-FlexFilms-Egypt-Giza-Egypt
Senior Risk Rating Analyst,FinBi Finance & Banking Consultants International -,"Dokki, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/9N7lk95o4Re8-Senior-Risk-Rating-Analyst-FinBi-Finance-Banking-Consultants-International-Giza-Egypt
Data Analytics Specialist (sales department),Specialized Seamless Services  -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Fqmz9gUeCh6d-Data-Analytics-Specialist-sales-department-Specialized-Seamless-Services-Cairo-Egypt
Financial Analyst/Intern,Intercap Capital  -,"Dokki, Giza, Egypt",InternshipOn-site,https://wuzzuf.nethttps://wuzzuf.net/internship/jLIAHKpceY6L-Financial-AnalystIntern-Intercap-Capital-Giza-Egypt
Financial Analyst,Confidential -,"Zamalek, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FRnd5SDn1K7Y-Financial-Analyst-Cairo-Egypt
"Master Data Section Head (SAP, MM, FI-CO Modules)",Arma-HSA -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Fsj7dAlBKsWU-Master-Data-Section-Head-SAP-MM-FI-CO-Modules-Arma-HSA-Cairo-Egypt
Senior Financial FP & A Analyst,London International Patient Services -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/fJhPrxVOwmd1-Senior-Financial-FP-A-Analyst-London-International-Patient-Services-Cairo-Egypt
SENIOR Manager - DATA ANALYTICS,Alshaya -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7V3SWPrsYal6-SENIOR-Manager---DATA-ANALYTICS-Alshaya-Cairo-Egypt
Operation Analyst,Etisal EG -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yHbJ76G4DKOA-Operation-Analyst-Etisal-EG-Cairo-Egypt
Senior Actuarial Analyst – P&C,Allianz -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2u1AlwUzoxJv-Senior-Actuarial-Analyst-–-PC-Allianz-Cairo-Egypt
Data Analyzer,Specialized Seamless Services  -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/v9FDEx80WC3M-Data-Analyzer-Specialized-Seamless-Services-Cairo-Egypt
Data Entry Clerk,Confidential -,"Shorouk City, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yEMyyKbP7TRq-Data-Entry-Clerk-Cairo-Egypt
Financial Analyst,Ghataty -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/g45ldOUQi3aU-Financial-Analyst-Ghataty-Cairo-Egypt
Credit Analyst,CXDA -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Fsu4MCSbVcPf-Credit-Analyst-CXDA-Cairo-Egypt
General Accountant,Ship To Box -,"Sheikh Zayed, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6J9op5JxEOdO-General-Accountant-Ship-To-Box-Giza-Egypt
Data Analysis Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt",Full TimePart TimeFreelance / ProjectHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/TYyBM6HyTXYL-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt
Tax Accountant,Makeplace Developments -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/arvgnAa4ss0O-Tax-Accountant-Makeplace-Developments-Cairo-Egypt
Senior Data Scientist – Data & AI Practice,BrickRed Technologies  -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/blQaTPf3FZrQ-Senior-Data-Scientist-–-Data-AI-Practice-BrickRed-Technologies-Cairo-Egypt
Senior Data Scientist / Data Scientist – Data & AI Practice,BrickRed Technologies -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/igdKGEyVjhWD-Senior-Data-Scientist-Data-Scientist-–-Data-AI-Practice-BrickRed-Technologies-Cairo-Egypt
Financial Analyst and Reporting,Bahna Engineering -,"Zamalek, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uJ7yJHtD9LCA-Financial-Analyst-and-Reporting-Bahna-Engineering-Cairo-Egypt
Senior Data Scientist,DOT Information Technology -,"New Cairo, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zSqX4xqCqCT6-Senior-Data-Scientist-DOT-Information-Technology-Cairo-Egypt
ERP System Analyst (Full Stack),Xceed Contact Center -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/L99ABIhYqte0-ERP-System-Analyst-Full-Stack-Xceed-Contact-Center-Cairo-Egypt
Senior International Marketing Specialist,ITIDA -,"6th of October, Giza, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/le4Gh5cJu0VR-Senior-International-Marketing-Specialist-ITIDA-Giza-Egypt
Full stack Developer (.Net Core & Angular),BI-Technologies -,"New Cairo, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/RlsQcq1nkSbO-Full-stack-Developer-Net-Core-Angular-BI-Technologies-Cairo-Egypt
Junior In-App Monetization Specialist,Madar Soft -,"Fleming, Alexandria, Egypt",Full TimeRemote,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/h73g8jxpPA60-Junior-In-App-Monetization-Specialist-Madar-Soft-Alexandria-Egypt
Admin (outsource),Electrolux -,"Nasr City, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jhfQBFZeV2AB-Admin-outsource-Electrolux-Cairo-Egypt
Senior Data Engineer,Confidential -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aX6bks5PlzSD-Senior-Data-Engineer-Cairo-Egypt
