Job Title,Company Name,Location,Job Type,Job Link
Business Analyst,Etqan Consultancy -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hNNS47WR4tvo-Business-Analyst-Etqan-Consultancy-Cairo-Egypt
Data Analyst Manager,WUZZUF -,"Maadi, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt
Data Analyst,Bnaia -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/5IUxAKZqpB90-Data-Analyst-Bnaia-Cairo-Egypt
Business Analyst,Elabd Foods -,"Abu Rawash, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yoRGH7V1205b-Business-Analyst-Elabd-Foods-Giza-Egypt
Data Analyst,Al Ateeq Software -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Ar12vcBQLTkq-Data-Analyst-Al-Ateeq-Software-Cairo-Egypt
Data Analyst,Helal Group -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/N0Hg667LsTE9-Data-Analyst-Helal-Group-Cairo-Egypt
Data Analyst,Junior-Tex -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/LaLsgvkPktUf-Data-Analyst-Junior-Tex-Cairo-Egypt
Market Research Analyst,Transmar International  -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/dJVGyj6yeEj7-Market-Research-Analyst-Transmar-International-Cairo-Egypt
Manager - Data Intelligence Analyst,Almosafer -,"Mohandessin, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/H4UTl8Xz7L56-Manager---Data-Intelligence-Analyst-Almosafer-Giza-Egypt
Supply Chain Data Analyst,ZeroCarbon  -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/0ZYypx6MqGkM-Supply-Chain-Data-Analyst-ZeroCarbon-Cairo-Egypt
Senior MIS Reporting Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/O8nRxLp5wd6k-Senior-MIS-Reporting-Analyst-Xceed-Contact-Center-Cairo-Egypt
Senior Business Analyst,Youxel -,"Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/af0iMqNWx3qA-Senior-Business-Analyst-Youxel-Cairo-Egypt
Business Analyst,Confidential -,"Dokki, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/oiIOk5pkxv7E-Business-Analyst-Giza-Egypt
Senior Business Analyst,Awazel -,"Sheraton, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rE88fiiZEKGB-Senior-Business-Analyst-Awazel-Cairo-Egypt
Data Analyst,Confidential -,"Bourj Alarab, Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/RGA3QaSv9HqM-Data-Analyst-Alexandria-Egypt
Data Analyst,Al Ateeq Software -,"Heliopolis, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Ar12vcBQLTkq-Data-Analyst-Al-Ateeq-Software-Cairo-Egypt
Data Analyst,Helal Group -,"New Cairo, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/N0Hg667LsTE9-Data-Analyst-Helal-Group-Cairo-Egypt
Data Analyst,Junior-Tex -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/LaLsgvkPktUf-Data-Analyst-Junior-Tex-Cairo-Egypt
Data Analyst Manager,WUZZUF -,"Maadi, Cairo, Egypt",Full TimeHybrid,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt
Financial Data Analyst,The Translation Gate -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/YsIyDJwtPwJ7-Financial-Data-Analyst-The-Translation-Gate-Cairo-Egypt
Data Analyst,Bnaia -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/5IUxAKZqpB90-Data-Analyst-Bnaia-Cairo-Egypt
Business Analyst,Etqan Consultancy -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/hNNS47WR4tvo-Business-Analyst-Etqan-Consultancy-Cairo-Egypt
Manager - Data Intelligence Analyst,Almosafer -,"Mohandessin, Giza, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/H4UTl8Xz7L56-Manager---Data-Intelligence-Analyst-Almosafer-Giza-Egypt
Supply Chain Data Analyst,ZeroCarbon  -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/0ZYypx6MqGkM-Supply-Chain-Data-Analyst-ZeroCarbon-Cairo-Egypt
Senior Data Analyst,Mobility Pro DMCC -,"Azarita, Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ltw4ifgm6LZ9-Senior-Data-Analyst-Mobility-Pro-DMCC-Alexandria-Egypt
Market Research Analyst,Transmar International  -,"Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/dJVGyj6yeEj7-Market-Research-Analyst-Transmar-International-Cairo-Egypt
Real Time Analyst,Nile Projects & Trading -,"Alexandria, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/AXzSqItg0YEi-Real-Time-Analyst-Nile-Projects-Trading-Alexandria-Egypt
Quality Monitoring Analyst (Offshore Account),Xceed Contact Center -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/UXCvIptGDmEN-Quality-Monitoring-Analyst-Offshore-Account-Xceed-Contact-Center-Cairo-Egypt
Data Analyst,Venus Hiring -,"Toronto, Canada",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Gaknn1pTbBFC-Data-Analyst-Venus-Hiring-Toronto-Canada
Senior MIS Reporting Analyst,Xceed Contact Center -,"Maadi, Cairo, Egypt",Full TimeOn-site,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/O8nRxLp5wd6k-Senior-MIS-Reporting-Analyst-Xceed-Contact-Center-Cairo-Egypt
